roomType,stars,address,numberOfGuests,primaryHost/smartName,price,firstReviewComments,firstReviewRating
Room in hotel,,"Las Vegas, Nevada, United States",8,888,,Place was great. Host responded to all of my messages in a timely manner.  My family & I enjoyed our stay.,5.0
Room in hotel,,"Las Vegas, Nevada, United States",8,888,,,
Room in hotel,,"Las Vegas, Nevada, United States",8,888,,,
Room in hotel,,"Las Vegas, Nevada, United States",8,888,,,
Room in hotel,,"Las Vegas, Nevada, United States",8,888,,,
Room in hotel,,"Las Vegas, Nevada, United States",8,888,,,
Room in hotel,,"Las Vegas, Nevada, United States",8,888,,,
Room in hotel,,"Las Vegas, Nevada, United States",8,888,,,
Room in hotel,,"Las Vegas, Nevada, United States",8,888,,,
Room in hotel,,"Las Vegas, Nevada, United States",8,888,,,
Room in hotel,,"Las Vegas, Nevada, United States",8,888,,,
Room in hotel,,"Las Vegas, Nevada, United States",8,888,,,
Room in hotel,,"Las Vegas, Nevada, United States",8,888,,,
Room in hotel,,"Las Vegas, Nevada, United States",8,888,,,
Room in hotel,,"Las Vegas, Nevada, United States",8,888,,,
Room in hotel,,"Las Vegas, Nevada, United States",8,888,,,
Room in hotel,,"Las Vegas, Nevada, United States",8,888,,,
Room in hotel,,"Las Vegas, Nevada, United States",8,888,,,
Room in hotel,,"Las Vegas, Nevada, United States",8,888,,,
Room in hotel,,"Las Vegas, Nevada, United States",8,888,,,
Room in hotel,4.56,"Las Vegas, Nevada, United States",8,888,,Overpriced,3.0
Room in hotel,,"Las Vegas, Nevada, United States",8,888,,,
Room in hotel,,"Las Vegas, Nevada, United States",8,888,,,
Private room in rental unit,,"Las Vegas, Nevada, United States",8,888,,Was a great space. Would use the host or this facility again.,5.0
Room in hotel,,"Las Vegas, Nevada, United States",8,888,,,
Room in hotel,,"Las Vegas, Nevada, United States",8,888,,,
Room in hotel,4.18,"Las Vegas, Nevada, United States",8,888,,"Mohammad was a very unprofessional host, which lead to a terrible Airbnb experience. First of all, Mohammad overbooked the units and tried to cancel our reservation on the same day we were set to arrive in Las Vegas. We made these reservations at least six months in advance since March Madness is a very popular time to come to Vegas. He ended up making three separate reservations, so we had to switch rooms multiple times during our 5 day stay, which was a major inconvenience.<br/>A week or two before we were set to arrive, we tried to contact him to talk about the details of our stay. We probably messaged and called him 10 plus times before we received an answer a few days before our stay. He confirmed that everything was fine with our booking, which turned out to be false. This poor communication was common theme. During the confusion of switching rooms, he ignored my calls. When called by the MGM, Mohammad finally answered his phone and was even unprofessional to MGM manager (yelling at her). The Signature at MGM has had numerous problems with Mohammad and his company, AAA Tourism (which Mohammad runs and is the only employee).",1.0
Room in hotel,,"Las Vegas, Nevada, United States",8,888,,,
Room in hotel,,"Las Vegas, Nevada, United States",8,888,,,
Private room in rental unit,,"Las Vegas, Nevada, United States",8,888,,,
Room in hotel,,"Las Vegas, Nevada, United States",8,888,,,
Room in hotel,,"Las Vegas, Nevada, United States",8,888,,,
Room in hotel,,"Las Vegas, Nevada, United States",8,888,,,
Room in hotel,,"Las Vegas, Nevada, United States",8,888,,,
Room in hotel,,"Las Vegas, Nevada, United States",8,888,,,
Private room in rental unit,,"Las Vegas, Nevada, United States",8,888,,,
Room in hotel,,"Las Vegas, Nevada, United States",8,888,,,
Room in hotel,,"Las Vegas, Nevada, United States",8,888,,,
Room in hotel,,"Las Vegas, Nevada, United States",8,888,,,
Room in hotel,,"Las Vegas, Nevada, United States",8,888,,,
Room in hotel,,"Las Vegas, Nevada, United States",8,888,,,
Room in hotel,,"Las Vegas, Nevada, United States",8,888,,,
Room in hotel,,"Las Vegas, Nevada, United States",8,888,,,
Room in hotel,,"Las Vegas, Nevada, United States",8,888,,,
Room in hotel,,"Las Vegas, Nevada, United States",8,888,,,
Room in hotel,,"Las Vegas, Nevada, United States",8,888,,,
Room in hotel,,"Las Vegas, Nevada, United States",8,888,,,
Room in hotel,,"Las Vegas, Nevada, United States",8,888,,For the price it is nit worth it,2.0
Room in hotel,,"Las Vegas, Nevada, United States",8,888,,,
Room in hotel,,"Las Vegas, Nevada, United States",8,888,,,
Room in hotel,,"Las Vegas, Nevada, United States",8,888,,,
Room in hotel,,"Las Vegas, Nevada, United States",8,888,,,
Private room in rental unit,,"Las Vegas, Nevada, United States",8,888,,,
Room in hotel,,"Las Vegas, Nevada, United States",8,888,,,
Room in hotel,,"Las Vegas, Nevada, United States",8,888,,,
Room in hotel,,"Las Vegas, Nevada, United States",8,888,,,
Room in hotel,,"Las Vegas, Nevada, United States",8,888,,"great place , very clean<br/>and modern",5.0
Room in hotel,,"Las Vegas, Nevada, United States",8,888,,,
Room in hotel,,"Las Vegas, Nevada, United States",8,888,,,
Room in hotel,,"Las Vegas, Nevada, United States",8,888,,,
Room in hotel,,"Las Vegas, Nevada, United States",8,888,,,
Room in hotel,,"Las Vegas, Nevada, United States",8,888,,,
Room in hotel,,"Las Vegas, Nevada, United States",8,888,,,
Room in hotel,,"Las Vegas, Nevada, United States",8,888,,,
Entire guest suite,,"Las Vegas, Nevada, United States",4,Aaron&Tina,,Tia is awesome! fun & very accommodating. With great tips on the nearby deals & places.<br/>Highly recommend!,5.0
Room in hotel,,"Las Vegas, Nevada, United States",8,888,,,
Room in hotel,,"Las Vegas, Nevada, United States",8,888,,,
Private room in resort,,"Las Vegas, Nevada, United States",4,Don,,Don was a great host. Perfect place and location to stay walking distance to many restaurants and shops. For any future trips will definitely check with Don what he has available,5.0
Entire condo,3.67,"Las Vegas, Nevada, United States",6,Aaron&Tina,,"Please do NOT,  I repeat do NOT book your vacation with these hosts. It's a scam. Worst situation ever, had booked this AirBnB room about three weeks in advance, thought nothing of it since everything was verified off the app, and had noticed a couple of good reviews. On the day of arrival, I did what the host had requested and that was to give them a heads up upon arriving. Called the host, spoke to Tina who didn't sound pleasant to hear from me or let alone care that we were arriving. When I had arrived at the location, I tried to reach Tina again, who never answered my calls again, which in fact I also had tried to via message her. Since that didn't work out, I went to the check in  at the front of the hotel to see if they know anything, the location is there alright but the staff member had stated that the room we were assigned to is closed off, and no one is staying there. Mind you guys, the load of stress and anxiety I was getting and finding out we had been scammed, and stranded on top of that we drove stuck in traffic for 7 hours coming from LA. We had to find a last minute hotel to book, to top it off it was the day of my birthday ! While all that was going on, I was able to reach Airbnb support who kindly helped us get our refund back. Please be careful who you book with.",1.0
Room in hotel,,"Las Vegas, Nevada, United States",4,Don,,,
Room in hotel,,"Las Vegas, Nevada, United States",8,888,,,
Room in hotel,,"Las Vegas, Nevada, United States",8,888,,,
Private room in rental unit,,"Las Vegas, Nevada, United States",8,888,,"Great set up for our family of four. Two rooms with a shared foyer. We closed & locked the foyer door so we could leave the doors to the rooms open & move back & forth between those spaces without room keys. The large unit has a full kitchen with fridge, dishwasher, cooktop & fridge/freezer. From our rooms on the fifth floor we could see (and hear) the Wet Republic pool at MGM. Accessing the MGM pool complex was easy & the monorail has a station in MGM so getting around is easy if you don’t want to walk. Lots of restaurants in MGM for eating out, plus the Delights cafe in MGM Signature Tower 2 has great food. Overall worked well for us.",5.0
Room in hotel,,"Las Vegas, Nevada, United States",8,888,,,
Private room in resort,,"Las Vegas, Nevada, United States",4,Don,,,
Entire condo,4.88,"Las Vegas, Nevada, United States",6,Richelle,,Richelle’s place was exactly as described. It was quiet get away from the hustle and bustle of the strip. The pool was relaxing and we had it to ourselves the majority of the time. Definitely recommended for a low key vegas trip.,5.0
Private room in resort,,"Las Vegas, Nevada, United States",6,Robert,,,
Room in hotel,,"Las Vegas, Nevada, United States",8,888,,,
Private room in resort,,"Las Vegas, Nevada, United States",8,Steven,,,
Room in hotel,,"Las Vegas, Nevada, United States",4,888,,,
Room in hotel,,"Las Vegas, Nevada, United States",4,888,,,
Room in hotel,,"Las Vegas, Nevada, United States",4,888,,,
Room in hotel,3.8,"Las Vegas, Nevada, United States",4,888,,Nothing in place worked there was no cable room smelled like smoke and vomit hotel wasn’t able to do anything because the room is privately owned worse stay ever !!,1.0
Room in hotel,,"Las Vegas, Nevada, United States",4,888,,,
Room in hotel,,"Las Vegas, Nevada, United States",4,888,,Awesome views and great host,5.0
Room in hotel,5.0,"Las Vegas, Nevada, United States",4,888,,Great views! Everything was amazing!,5.0
Room in hotel,,"Las Vegas, Nevada, United States",4,888,,,
Room in hotel,,"Las Vegas, Nevada, United States",4,888,,,
Room in hotel,,"Las Vegas, Nevada, United States",4,888,,,
Room in hotel,,"Las Vegas, Nevada, United States",4,888,,,
Room in hotel,,"Las Vegas, Nevada, United States",4,888,,,
Room in hotel,,"Las Vegas, Nevada, United States",4,888,,,
Room in hotel,,"Las Vegas, Nevada, United States",6,Suiteness,,,
Room in hotel,,"Las Vegas, Nevada, United States",4,888,,Great place to stay 😁,5.0
Private room in resort,,"Las Vegas, Nevada, United States",6,Steven,,,
Room in hotel,,"Las Vegas, Nevada, United States",4,888,,,
Room in hotel,,"Las Vegas, Nevada, United States",4,888,,,
Room in hotel,,"Las Vegas, Nevada, United States",4,888,,,
Room in hotel,,"Las Vegas, Nevada, United States",4,888,,,
Room in hotel,,"Las Vegas, Nevada, United States",4,888,,,
Entire villa,,"Las Vegas, Nevada, United States",6,Regina,,,
Room in hotel,,"Las Vegas, Nevada, United States",4,888,,,
Room in hotel,,"Las Vegas, Nevada, United States",4,888,,,
Entire serviced apartment,,"Las Vegas, Nevada, United States",6,Kani,,,
Room in hotel,,"Las Vegas, Nevada, United States",4,888,,,
Room in hotel,,"Las Vegas, Nevada, United States",4,888,,,
Room in hotel,,"Las Vegas, Nevada, United States",4,888,,This place was a great location! Super close to the strip and MGM Grand.,5.0
Room in hotel,,"Las Vegas, Nevada, United States",4,888,,otimo.,5.0
Room in hotel,4.67,"Las Vegas, Nevada, United States",4,888,,"The room was very nice and worth it. Check in was easy, no problems whatsoever. If you’re considering to book I highly recommend!",5.0
Room in hotel,,"Las Vegas, Nevada, United States",4,888,,Great place to bring in the new year!,5.0
Room in hotel,,"Las Vegas, Nevada, United States",4,888,,,
Room in hotel,,"Las Vegas, Nevada, United States",4,888,,,
Room in hotel,,"Las Vegas, Nevada, United States",4,888,,Was a very relaxing and great stay! 10/10 recommend,5.0
Entire home,4.84,"Las Vegas, Nevada, United States",8,Carlos,,"Nice place, close by the strip. Could of been cleaner and pool was dirty and we were not able to use it.",2.0
Room in hotel,,"Las Vegas, Nevada, United States",4,888,,An amazing place very clean and Nice definitely recommend,5.0
Entire home,,"Las Vegas, Nevada, United States",8,Christopher,,Wrong listing. Don't book,1.0
Entire rental unit,,"Las Vegas, Nevada, United States",4,Oscar E,,,
Room in hotel,,"Las Vegas, Nevada, United States",8,Suiteness,,,
Room in hotel,,"Las Vegas, Nevada, United States",4,888,,"Really awesome room, great view on balcony and very clean.",5.0
Room in hotel,,"Las Vegas, Nevada, United States",4,888,,,
Room in hotel,,"Las Vegas, Nevada, United States",4,888,,,
Entire serviced apartment,,"Las Vegas, Nevada, United States",8,Shaylea,,Awesome suite in Excellent location! Great for larger groups! Highly recommend!,5.0
Room in hotel,,"Las Vegas, Nevada, United States",8,888,,Highly recommended,5.0
Entire place,,"Las Vegas, Nevada, United States",6,Biju,,Biju is a great host and very responsive!<br/>Dave,5.0
Room in hotel,5.0,"Las Vegas, Nevada, United States",4,888,,"The experience was excellent. The location is fantastic, and the hotel is amazing it was a  really pleasant experience. I'll come back and definitely will recommend Amalz Hotels to all of my friends.",5.0
Entire home,,"Las Vegas, Nevada, United States",16,Totalmax,,Great location and the house was perfect for hosting a large group. The layout was amazing. Every bedroom was as if it were a hotel room <br/>Communication was great<br/>All around great experience <br/>Would do this again next time around as well,5.0
Entire home,4.4,"Las Vegas, Nevada, United States",16,Simon,,"We have stayed with 15 people for business from Friday to Friday. The intro and outro were splendid. Simon would show us magic tricks, and people were super excited about it. It's the only or one of the few places on Airbnb for Las Vegas where you can stay with so many people. That is a USP. We enjoyed having the whole group together at the place. That was awesome. Problems: The place was not clean. Walking in the house bare feet would render your soles pitch black in minutes. Only a few drops came out of one of the taps. There seems to be a lack of pressure. Some sleeping rooms have been a garage one day. The third compound could not be locked. The entry door was locked at some point, and we could not get in. It took Simon from 9:45 pm till 8:30 am the next morning to get back to us, although we dialed his number, send him text messages, and contacted him on Airbnb. If we would not have been able to ""guess"" the code of another lock, about 10 people would have missed their flight.",3.0
Entire condo,4.86,"Las Vegas, Nevada, United States",16,Christopher,,"Great location, just off the Strip.  The on-site support was friendly and very helpful.  The amenities were amazing.  Very proactive in ensuring your comfort and needs.",5.0
Entire home,4.95,"Las Vegas, Nevada, United States",16,Brian,,"We do an annual golf trip with larger group and this house was great.  Plenty of room and bedrooms.   The house is funky in a good way.  Like who originally put a bowling alley and a basketball court inside their house.  Is it perfect?  No house is but it is clean, safe and interesting and great for a large group for a long weekend or week.   Also would be perfect for a family reunion with kids as well.",5.0
Private room in resort,5.0,"Las Vegas, Nevada, United States",8,Vegas,,Everything was perfect beautiful views very clean environment & the host was very nice & took care of all of my needs it was the best I loved everything about my stay great experience!,5.0
Entire villa,5.0,"Las Vegas, Nevada, United States",16,Lyn,,Awesome space.  We had a great time.,5.0
Private room in home,5.0,"Las Vegas, Nevada, United States",2,Carlos,,"Was in a quiet neighborhood, host was extremely cordial and prompt. The Airbnb was clean and comfortable. Definitely recommend.",5.0
Room in hotel,,"Las Vegas, Nevada, United States",4,888,,Great place,5.0
Room in hotel,,"Las Vegas, Nevada, United States",4,888,,,
Room in hotel,,"Las Vegas, Nevada, United States",4,888,,,
Entire home,5.0,"Las Vegas, Nevada, United States",16,Simon,,Perfect House for large group. <br/>Simon answered everything we asked.<br/>it was a great experience.,5.0
Room in hotel,,"Las Vegas, Nevada, United States",4,888,,Beautiful place,5.0
Room in hotel,,"Las Vegas, Nevada, United States",4,888,,,
Entire villa,5.0,"Las Vegas, Nevada, United States",16,Lyn,,"The pictures don’t reflect what an amazing place this is.  Gigantic kitchen, lots of counter space, all bedrooms are large, almost every bedroom has a private bathroom.  This worked great for us to have 30+ person meetings in the great room, and smaller meetings in the karaoke space.  Brooke’s communication was quick.  Perfect place for a corporate retreat!",5.0
Entire home,,"Las Vegas, Nevada, United States",16,Lyn,,Very nice property and professional management,5.0
Room in hotel,,"Las Vegas, Nevada, United States",4,Suiteness,,,
Private room in resort,5.0,"Las Vegas, Nevada, United States",14,Vegas,,"It was a very enjoyable trip overall, the hotel was clean and the staff were very nice, I would recommend and I will come back. The host was friendly as well and guided us very clearly.",5.0
Room in hotel,,"Las Vegas, Nevada, United States",6,Suiteness,,,
Room in hotel,,"Las Vegas, Nevada, United States",4,888,,,
Entire home,4.4,"Las Vegas, Nevada, United States",16,Lyn,,Was awesome for my large group,5.0
Room in hotel,,"Las Vegas, Nevada, United States",4,888,,,
Room in hotel,,"Las Vegas, Nevada, United States",6,Suiteness,,,
Room in hotel,,"Las Vegas, Nevada, United States",4,888,,,
Entire condo,,"Las Vegas, Nevada, United States",6,Giovonnie,,겁나 좋음!!강추!!!,5.0
Entire condo,4.7,"Las Vegas, Nevada, United States",4,Terry,,Beautiful place! Beautiful pool and work out facility. I highly recommend!,5.0
Entire home,5.0,"Las Vegas, Nevada, United States",16,Lyn,,"Amazing house, thank you so much!! Would recommend to anyone",5.0
Entire home,5.0,"Las Vegas, Nevada, United States",16,Lyn,,The accommodations are excellent and as advertised! Plenty of space for a larger group. Brooke was extremely helpful and responsive for any issues our whole trip. Would highly recommend!,5.0
Entire villa,4.5,"Las Vegas, Nevada, United States",16,Lyn,,"Great place to stay for a family or large party who want to go out at night or a quiet place to stay in the evenings.  Very close to HUNDREDS of great Japanese, Korean, Chinese, Vietnamese, and Thai restaurants.",5.0
Entire home,4.67,"Las Vegas, Nevada, United States",16,Totalmax,,"Brooke who was my contact was accommodating, responsive, and amazing. The place was exactly as shown on the site. Just an incredible place to stay. <br/>Well stocked, clean, and had so much to do. I loved the little games everywhere that we could use for fun like janga and basketball. 10/10 would recommend. If we every run our program again in vegas we are always picking this place.",5.0
Entire home,4.92,"Las Vegas, Nevada, United States",16,Simon,,Simon is always professional and responsive. He enjoys sharing his place with guests and makes sure they have a great experience.,5.0
Entire home,5.0,"Las Vegas, Nevada, United States",8,Robert,,best place for visit !,5.0
Entire villa,4.71,"Las Vegas, Nevada, United States",16,Lyn,,Great stay even better host house was beautiful!!,5.0
Entire home,,"Las Vegas, Nevada, United States",16,Totalmax,,"Place was amazing for a large family reunion where everyone could congregate in the kitchen while having private places to go to. Everyone was able to have their own bedroom / bathroom. Brooke was fantastic and extremely responsive. Only unfortunate thing was the pool heater was broken on arrival. They did send out maintenance folks and a pool tech even though it was a holiday and were extremely responsive, but we were not able to get it to a heating level to use in December since it was fairly cold outside. Just mentioning it in case folks want to use it for the pool during the winter. Totalmax did try extra hard to get it working and didn't charge us for pool heating, so that was appreciated.<br/>Would definitely recommend the place. We had a fantastic time!",5.0
Entire villa,,"Las Vegas, Nevada, United States",16,Miranda,,Amazing place. Great communication. Very accomadating. We will be back!,5.0
Entire home,4.84,"Las Vegas, Nevada, United States",16,Lyn,,Second time we have stayed at this property. It is great for our family group with 16. We will be back.,5.0
Entire home,4.9,"Las Vegas, Nevada, United States",16,Simon,,It’s a great place to have a large group!<br/>Super fun place for gatherings and parties.,5.0
Entire home,5.0,"Las Vegas, Nevada, United States",16,Kelly,,Amazing house and host!  We had our family reunion here and enjoyed the very private property.  The Casita was a great addition to the main house which was amazing as well. I highly suggest this property if in the Vegas area.  Super close to the strip as well without all the noise,5.0
Entire villa,4.94,"Las Vegas, Nevada, United States",16,Lyn,,"Great property for our group. Hosted 11 of us for fantasy football weekend. Plenty of space. Outdoor area was perfect. Plenty of standard amenities(kitchenwares, utensils, towels, etc). Honestly had nothing to complain about and had no issues during our stay. If we come back to Vegas again I’d definitely book one of Lyn’s properties. Also had a chef available if we wanted, we didn’t but a nice option.",5.0
Entire villa,,"Las Vegas, Nevada, United States",16,Audrielle,,,
Entire home,4.92,"Las Vegas, Nevada, United States",16,Lyn,,"We stayed here for our 10 year reunion from our pediatric residency program, it was a group of adults and kids (30+ people) and we had a great time.  There was lots to do/enjoy at the house and we only really left to get food!  The pool/water slide and game areas were awesome. The kids spent most of the day in the pool every day and the adults had time to visit and relax.  The hosts were incredibly responsive and we communicated frequently during our stay.  Plenty of pool toys and towels for the weekend and we did wash them daily because there were a lot of us using them.  Definitely pay for the pool heating if you are going in the fall/winter as the pool really makes the house amazing for the kids.  We would 100% stay here again.",5.0
Entire home,5.0,"Las Vegas, Nevada, United States",16,Totalmax,,Awesome house. I’ve been to lots of rentals in the area and it can be hit or miss. This one is definitely a hit. 5 stars.,5.0
Entire home,4.95,"Las Vegas, Nevada, United States",16,Brian M,,Easy to work with easy transaction. Exactly what you would expect of an Airbnb.,5.0
Entire home,5.0,"Las Vegas, Nevada, United States",16,Brian T,,"Very well hosted location, great communications and responsive host.",5.0
Entire guest suite,,"Las Vegas, Nevada, United States",4,Aaron&Tina,,Wonderful stay and Tia was fantastic. We arrived to Las Vegas to have our original stay cancelled on us. We scrambled to find another place and booked this one. Tia called immediately to let us know when we could check in and met us outside to show us in and make sure we had everything we needed. She was always available if we needed anything and made our stay very enjoyable.,5.0
Entire home,4.98,"Las Vegas, Nevada, United States",14,Alexa,,Good place,5.0
Entire villa,4.98,"Las Vegas, Nevada, United States",16,Cassandra And Bobby,,"Amazing property, high end and amazing view!",5.0
Entire townhouse,4.64,"North Las Vegas, Nevada, United States",4,Ali,,"I had extremely high hopes for this. Great area, pictures looked great, and even had a super host. We were really excited. Our host messaged us the day we reserved this about 6 months ago. Not much after that didn’t ask for any information nothing. The morning we arrived in Las Vegas, she sent a AIRBNB message to us cancelled on us. She said we could communicate with her for help. We tried calling sending several messages and not a single thing back. She did not cancel the reservation officially just by telling us it was cancelled. She even said she “assumed” we were not going due to COVID.  So there we are Las Vegas 10 hours away from home with no place to stay and she has our money didn’t even try to help. I had high hopes but obviously you can’t trust anyone these days. I encourage you to enjoy a nice hotel in LV and never an Airbnb from this host.",1.0
Entire home,,"Las Vegas, Nevada, United States",16,Totalmax,,This property is so well equipped for fun! Well worth it.,5.0
Room in hotel,,"Las Vegas, Nevada, United States",10,Suiteness,,,
Camper/RV,4.89,"Las Vegas, Nevada, United States",2,Brad,,Friendly people,5.0
Entire home,,"Las Vegas, Nevada, United States",16,Dong,,,
Entire guest suite,4.6,"Las Vegas, Nevada, United States",2,Hernan,,Beautiful stay. thank you for allowing our stay.,5.0
Entire home,4.86,"Las Vegas, Nevada, United States",12,Anthony,,"This place is incredible! Honestly, better than I expected from the pictures. The area seems fine but you don't really notice since you feel like you are in a compound separate from the neighborhood. This house has everything and everything is the top-notch version. it was definitely lux-living. We loved the place! The only thing that was a little bit annoying was the rule to keep the hot tub off while not using it. That made it so we couldn't use the hot tub very much because by the time we got home from a long day at the convention, we didn't really want to wait the almost 2 hours to heat it up. But the steam room made up for that. We will definitely rent this house next year for the convention.",5.0
Room in hotel,,"Las Vegas, Nevada, United States",6,Suiteness,,,
Entire villa,5.0,"Las Vegas, Nevada, United States",16,Paloma,,"10/10 - perfect place, no notes.",5.0
Entire serviced apartment,4.71,"Las Vegas, Nevada, United States",10,Cassandra And Bobby,,Great place to book & stay. Amazing view of the strip/ city. Will be coming back!,5.0
Entire condo,5.0,"Las Vegas, Nevada, United States",16,Cassandra And Bobby,,"Absolutely amazing view. If you have seen the tourist helicopters flying over Vegas, that is the view all the time",5.0
Entire home,,"Henderson, Nevada, United States",16,Jenny,,,
Entire home,4.84,"Henderson, Nevada, United States",16,Paul,,"If you want great communication, clean area, big enough for your party. This is the place to go!",5.0
